Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
notmoron_703fd2df	e	Just talk to it, and it'll do its magic.	game/script.rpy	157	e "[what]"
notmoron_96092e46	e	See? That wasn't so hard was it?	game/script.rpy	163	e "[what]"
notmoron_7c4c33b9	e	Now, let's move on to something a bit more advanced.	game/script.rpy	164	e "[what]"
notmoron_3d1514b9	e	That took a while, but see? Progress! Just a bit left we can leave for tomorrow.	game/script.rpy	170	e "[what]"
notmoron_f71fd260	e	I'm going now, good night!	game/script.rpy	172	e "[what]"
notmoron_c83b3038	e	Rest well!	game/script.rpy	173	e "[what]"
notmoron_e24035b9		{i}With that, the coding was finished.{/i}	game/script.rpy	177	"[what]"
notmoron_a81aaa70		{i}I was so tired, it took days to get the game to work, but I was so happy.{/i}	game/script.rpy	178	"[what]"
notmoron_497b4ba4		{i}There was progress. Slowly, but surely, my dream was coming true.{/i}	game/script.rpy	179	"[what]"
notmoron_81192f8c		{b}DAY 4 - 4 DAYS LEFT{/b}	game/script.rpy	180	"[what]"
notmoron_105ee82f	e	Yo! [inputname]!	game/script.rpy	186	e "[what]"
notmoron_8f5207e9	pov	Hey Emma! Why did you ask to meet me here?	game/script.rpy	187	pov "[what]"
notmoron_a68261b6	e	I thought we could take a break from the game for a bit.	game/script.rpy	189	e "[what]"
notmoron_47830c22	e	You've worked hard to learn how to code these past few days, and you even got the game working.	game/script.rpy	190	e "[what]"
notmoron_dd9481e0	e	So, why not take a break and look at some art?	game/script.rpy	191	e "[what]"
notmoron_a0199d57	e	Also, you wanted to add some 'flair' to the game right?	game/script.rpy	192	e "[what]"
notmoron_b331d177	e	What better place than an art exhibit? You can get some inspirations here for the flair!	game/script.rpy	193	e "[what]"
notmoron_a443a56d	e	You wanted themes right? Well, here you go!	game/script.rpy	194	e "[what]"
notmoron_419c97e5	e	Let's go look around!	game/script.rpy	196	e "[what]"
notmoron_b21fec66	e	That was fun!	game/script.rpy	202	e "[what]"
notmoron_bb23bb03	e	Did you have fun too?	game/script.rpy	203	e "[what]"
unfun_77c72c84	e	Aww... really?	game/script.rpy	213	e "[what]"
unfun_2c25960c	e	Sorry for dragging you along then.	game/script.rpy	214	e "[what]"
unfun_1062ed94	e	I just thought it would be fun to look at some art together.	game/script.rpy	215	e "[what]"
unfun_661c7ecf	e	But at least you got some ideas for the game right?	game/script.rpy	216	e "[what]"
fun_85d729f6	e	Yay! I had fun too!	game/script.rpy	221	e "[what]"
fun_5f0af96e	e	Today was great!	game/script.rpy	222	e "[what]"
fun_a7221f92	e	And look! You got some ideas for the game too!	game/script.rpy	223	e "[what]"
cont_e8d867cf	e	Well, it's getting late now.	game/script.rpy	228	e "[what]"
cont_982c138d	e	We should head back home.	game/script.rpy	230	e "[what]"
cont_6f2def4b	e	Bye, [inputname]! See you tomorrow!	game/script.rpy	231	e "[what]"
cont_9e6d1d8c		{i}With that, the rest day ended.{/i}	game/script.rpy	235	"[what]"
cont_18c74717		{i}With some inspiration, We could get started with the art tomorrow.{/i}	game/script.rpy	236	"[what]"
cont_b951bfe6		DAY 5 - 3 DAYS LEFT	game/script.rpy	237	"[what]"
cont_c0b798f0	e	Ey, [inputname]!	game/script.rpy	242	e "[what]"
cont_95f6ae24	pov	Hi Emma! Why are we in a cafe?	game/script.rpy	243	pov "[what]"
cont_c2044c82	e	Well, I thought we could use a change of scenery for a bit.	game/script.rpy	245	e "[what]"
cont_105a4075	e	It's somewhat cozier here than at home right?	game/script.rpy	246	e "[what]"
cont_5f3e3c76	pov	I guess? It's not the cheapest place though.	game/script.rpy	247	pov "[what]"
cont_0d69afb1	e	Don't worry about it!	game/script.rpy	249	e "[what]"
cont_bfa24fef	e	It's on me!	game/script.rpy	250	e "[what]"
cont_7715ba0a	e	Anyways, we gotta get started on the assets for the game.	game/script.rpy	252	e "[what]"
cont_49b4b13a	e	You know, the graphics and stuff for your 'flair'.	game/script.rpy	253	e "[what]"
cont_4ac4b932	e	We only got a couple of days left, so let's lock in, and get started!	game/script.rpy	254	e "[what]"
cont_649cd1ca	e	I am so not an artist.	game/script.rpy	261	e "[what]"
cont_9f09ebd7	e	But hey, we got it!	game/script.rpy	262	e "[what]"
cont_2412d80d	e	The game looks great! Just some small things to take care of, and we're done!	game/script.rpy	263	e "[what]"
cont_fa5d4fb1	pov	What things?	game/script.rpy	264	pov "[what]"
cont_cac81a80	e	Just where to release the game.	game/script.rpy	266	e "[what]"
cont_4a18144e	e	I mean, you want to release it right?	game/script.rpy	267	e "[what]"
cont_c71a5b94	pov	But who would play it? I mean, it's just pong.	game/script.rpy	268	pov "[what]"
cont_9ed4b232	e	Well, you never know. You could get lucky.	game/script.rpy	269	e "[what]"
cont_8b6f02e9	e	Why not release it? We've worked hard on it after all.	game/script.rpy	270	e "[what]"
cont_04d214f1	e	Might as well, right?	game/script.rpy	271	e "[what]"
cont_66e5e046	e	It's getting late now though, so let's call it a night.	game/script.rpy	272	e "[what]"
cont_4bbf0404	e	Bye, [inputname]!	game/script.rpy	274	e "[what]"
cont_a99fbc84		{i}With that, the game was finished.{/i}	game/script.rpy	278	"[what]"
cont_74385982		{i}Just one last step, and my dream was coming true.{/i}	game/script.rpy	279	"[what]"
cont_0baf0bb2		{b}DAY 7 - FINAL DAY{/b}	game/script.rpy	280	"[what]"
cont_8c458e89	e	Finally, we're done!	game/script.rpy	285	e "[what]"
cont_ccb05b15	e	Just gotta release the thing!	game/script.rpy	286	e "[what]"
cont_4451dee2	e	So, we gotta decide where and when to release it, and how to market it.	game/script.rpy	288	e "[what]"
cont_3c7778ab	pov	Market it?	game/script.rpy	289	pov "[what]"
cont_173c38a5	e	Yeah! Maybe an ad or something.	game/script.rpy	291	e "[what]"
cont_c72a7b35	e	Why not? I mean, you want people to play it right?	game/script.rpy	292	e "[what]"
cont_33a30734	pov	Sure.	game/script.rpy	293	pov "[what]"
cont_2cfab1f0	e	I already did a lot of research yesterday, did an all nighter and all.	game/script.rpy	294	e "[what]"
cont_855ed969	e	So, you just gotta look at what I found here.	game/script.rpy	295	e "[what]"
cont_4506c806	e	And that's that!	game/script.rpy	300	e "[what]"
cont_4aa14fe4	e	Pretty quick right? Thanks to my amazing research skills.	game/script.rpy	301	e "[what]"
cont_ef37498e	e	Anyway, we're done now!	game/script.rpy	302	e "[what]"
cont_2616cd6a	e	When we release the game, let's celebrate!	game/script.rpy	303	e "[what]"
cont_1aeb9012		{i}A FEW DAYS LATER.{/i}	game/script.rpy	307	"[what]"
cont_ea541979		THREE!	game/script.rpy	311	"[what]"
cont_a9d27e0a		TWO!	game/script.rpy	312	"[what]"
cont_915d4aca		ONE!	game/script.rpy	313	"[what]"
cont_a20cefa7		...	game/script.rpy	314	"[what]"
cont_a1b28465	e	And it's out!	game/script.rpy	316	e "[what]"
cont_a437748b	pov	I can't believe we actually did it!	game/script.rpy	317	pov "[what]"
cont_cd6e7886	e	Yeah! We did it!	game/script.rpy	318	e "[what]"
cont_98346f9b	e	We made a game together!	game/script.rpy	319	e "[what]"
cont_714bdd50	e	Thank you so much for working with me on this! It was so much fun!	game/script.rpy	320	e "[what]"
brag_10902ecd	e	Hah! Sure you did!	game/script.rpy	329	e "[what]"
thank_049bed69	e	That's that!	game/script.rpy	332	e "[what]"
thank_1dc7c556	e	Let's make another game together!	game/script.rpy	333	e "[what]"
thank_f3db4d01	pov	...Sure.	game/script.rpy	334	pov "[what]"
thank_98f57b34	pov	Not right now though.	game/script.rpy	335	pov "[what]"
thank_a0808f6b	e	Of course not!	game/script.rpy	336	e "[what]"
thank_4be89441	e	Now eat! This is a celebration after all!	game/script.rpy	337	e "[what]"
thank_47728c05	e	That food cost a lot of money, so you better eat a ton!	game/script.rpy	338	e "[what]"
thank_32440c2e		{i}And with that, my dream came true.{/i}	game/script.rpy	342	"[what]"
thank_33cfbfb0		{i}Together with Emma, I'll go even further.{/i}	game/script.rpy	343	"[what]"
thank_03648fd6		{i}We'll make games that shake the world!{/i}	game/script.rpy	344	"[what]"
thank_4114d5f8		{i}Beginning with pong, we'll make great games together, as comrades.{/i}	game/script.rpy	347	"[what]"
thank_fbebf170		{b}END{/b}	game/script.rpy	348	"[what]"
unwilling_43469889	e	Damn man, your loss.	game/script.rpy	355	e "[what]"
unwilling_faf05bee	e	Anyways, I gotta go. See ya later.	game/script.rpy	356	e "[what]"
unwilling_182a6ff2		And with that, I never really got started on my game.	game/script.rpy	361	"[what]"
unwilling_4db2ad2e		Emma never brought it up again, and life just went on as normal.	game/script.rpy	362	"[what]"
unwilling_3cd77c3a		I got my degree, got a job, and honestly...	game/script.rpy	363	"[what]"
unwilling_7cc0a3ed		I wish that I had taken her up on that offer.	game/script.rpy	364	"[what]"
unwilling_9dce318a		My dream was right there, but... it's too late now. Oh well.	game/script.rpy	365	"[what]"
unwilling_57f81bbe		{b}Regretful Ending{/b}	game/script.rpy	366	"[what]"
